asin,source,name,verdict,p1,p2,p3,detail
0316481211,catalog,"Estrogen Matters by Avrum Bluming MD and Carol Tavris PhD",fail,404,404,404,""
059318395X,catalog,"The Menopause Brain by Lisa Mosconi PhD",fail,404,404,404,""
0806541490,catalog,"The Menopause Manifesto by Jen Gunter MD",fail,404,404,404,""
B0013OPGAM,herbs,"Lavender",fail,404,404,404,""
B0013OQHIA,herbs,"Vitex (Chasteberry)",fail,404,404,404,""
B0013OQM34,herbs,"Indole-3-Carbinol",fail,404,404,404,""
B0013OQM6U,herbs,"Evening Primrose Oil",fail,404,404,404,""
B0013OQNX0,herbs,"Passionflower",fail,404,404,404,""
B0013OQO8O,herbs,"Melatonin (Low Dose)",fail,404,404,404,""
B0013OQOAW,herbs,"Borage Oil",fail,404,404,404,""
B0013OQOZW,herbs,"Hawthorn",fail,404,404,404,""
B0013OQPQE,herbs,"Lemon Balm",fail,404,404,404,""
B0013OQQGS,herbs,"Valerian",fail,404,404,404,""
B0013OQQZW,herbs,"American Ginseng",fail,404,404,404,""
B0013OQRJG,herbs,"Blackcurrant Seed Oil",fail,404,404,404,""
B0013OQRMI,herbs,"Calcium D-Glucarate",fail,404,404,404,""
B0013OQRSW,herbs,"Taurine",fail,500,404,404,""
B0013OQRT0,herbs,"Milk Thistle",fail,500,404,404,""
B0013OQRTQ,herbs,"Bacopa",fail,404,404,404,""
B0013OQT3Q,herbs,"Poria (Fu Ling)",fail,404,404,404,""
B0013OQTAY,herbs,"Brahmi (Bacopa)",fail,404,404,404,""
B0013OQTEU,herbs,"Chromium Picolinate",fail,404,404,404,""
B0013OQTWG,herbs,"Phosphatidylserine",fail,404,404,404,""
B0013OQV0G,herbs,"Amalaki (Amla)",fail,404,404,404,""
B0013OQXJI,herbs,"Boron",fail,404,404,404,""
B0013OQXX0,herbs,"Epimedium (Horny Goat Weed)",fail,404,404,500,""
B0013OQYC0,herbs,"Slippery Elm",fail,404,404,404,""
B0013OQYG6,herbs,"He Shou Wu",fail,404,404,404,""
B0013OQYIM,herbs,"Peppermint",fail,404,404,404,""
B0013OQYZG,herbs,"Rehmannia",fail,404,404,404,""
B0013OUTCC,herbs,"Garden Sage",fail,500,404,500,""
B0013OUTK4,herbs,"Astragalus",fail,404,404,404,""
B0013OUTZW,herbs,"Rose Petal",fail,404,404,404,""
B0013OUUWO,herbs,"Vitamin A (Retinol)",fail,404,404,404,""
B0013OUVMG,herbs,"Saint John's Wort",fail,404,404,404,""
B0013OUWIU,herbs,"Dong Quai",fail,404,404,404,""
B0013OUXAW,herbs,"White Peony Root",fail,404,404,404,""
